,ARTS94,ARTS300,ARTS3k,LR-ARTS94,LR-ARTS300,LR-ARTS3k,SDA,ST-sent,ST-para,D-Wiki,Average
Claude(simp),0.551,0.589,0.568,0.371,0.44,0.437,0.255,0.376,0.174,0.294,0.405
Ours_RF,0.595,0.463,0.439,0.256,0.199,0.224,0.148,0.528,0.101,0.428,0.338
Claude(simp+src),,,,,,,0.573,0.136,0.107,0.518,0.334
Claude(simp+src+ref),,,,,,,0.578,0.14,0.091,0.477,0.322
BATS-RF,0.55,0.466,0.306,0.239,0.197,0.152,0.125,0.529,0.108,0.46,0.313
BATS-GB,0.573,0.47,0.292,0.267,0.193,0.149,0.121,0.52,0.131,0.41,0.313
LENS-SALSA,,,,,,,0.493,0.218,0.022,0.326,0.265
SLE,0.508,0.463,0.437,0.253,0.264,0.252,0.018,0.264,0.006,0.053,0.252
Claude(simp+ref),,,,,,,0.484,0.015,0.036,0.402,0.234
SARI,,,,,,,0.202,0.149,0.284,0.257,0.223
bertscore_f1,,,,,,,0.322,0.185,0.117,0.257,0.22
BERTScore_P,,,,,,,0.428,0.143,0.058,0.247,0.219
FKGL,0.417,0.343,0.334,0.2,0.199,0.202,0.045,0.217,0.062,0.031,0.205
rouge2,,,,,,,0.205,0.286,0.131,0.192,0.204
bertscore_r,,,,,,,0.241,0.187,0.129,0.214,0.193
Word_Count,0.507,0.376,0.4,0.079,0.047,0.077,0.003,0.299,0.009,0.104,0.19
D-SARI,,,,,,,0.202,0.167,0.105,0.257,0.183
ROUGE-L,,,,,,,0.165,0.248,0.106,0.198,0.179
dsari_keep,,,,,,,0.161,0.11,0.093,0.351,0.179
BLEU,,,,,,,0.158,0.267,0.14,0.151,0.179
rouge1,,,,,,,0.135,0.249,0.099,0.188,0.168
dsari_delete,,,,,,,0.102,0.259,0.165,0.073,0.15
dsari_add,,,,,,,0.191,0.06,0.088,0.209,0.137
Avg_Word_Len,0.172,0.019,0.112,0.204,0.107,0.16,0.051,0.015,0.142,0.011,0.099
Shuffle,0.033,0.081,0.004,0.023,0.048,0.01,0.027,0.021,0.059,0.027,0.033
Random,0.135,0.001,0.018,0.039,0.031,0.017,0.024,0.016,0.003,0.008,0.029
