,ARTS94,ARTS300,ARTS3k,LR-ARTS94,LR-ARTS300,LR-ARTS3k,SDA,ST-sent,ST-para,D-Wiki
Claude(simp),0.688,0.665,0.592,0.509,0.516,0.461,0.201,0.344,0.094,0.241
Ours_RF,0.458,0.387,0.415,0.118,0.123,0.201,0.095,0.495,0.021,0.374
Claude(simp+src),,,,,,,0.52,0.104,0.027,0.464
Claude(simp+src+ref),,,,,,,0.524,0.108,0.012,0.424
BATS-RF,0.412,0.39,0.282,0.101,0.121,0.128,0.072,0.496,0.028,0.407
BATS-GB,0.436,0.394,0.269,0.129,0.117,0.125,0.068,0.488,0.051,0.357
LENS-SALSA,,,,,,,0.44,0.186,0.057,0.272
SLE,0.645,0.539,0.461,0.391,0.34,0.276,0.071,0.232,0.086,0.001
Claude(simp+ref),,,,,,,0.43,0.017,0.044,0.349
SARI,,,,,,,0.149,0.093,0.148,0.204
bertscore_f1,,,,,,,0.268,0.218,0.197,0.203
BERTScore_P,,,,,,,0.374,0.176,0.138,0.193
FKGL,0.28,0.267,0.31,0.063,0.123,0.179,0.009,0.25,0.018,0.085
rouge2,,,,,,,0.152,0.319,0.211,0.139
bertscore_r,,,,,,,0.187,0.219,0.209,0.16
Word_Count,0.37,0.3,0.377,0.059,0.029,0.053,0.056,0.332,0.089,0.158
D-SARI,,,,,,,0.149,0.134,0.025,0.204
ROUGE-L,,,,,,,0.112,0.28,0.186,0.144
dsari_keep,,,,,,,0.107,0.143,0.173,0.298
BLEU,,,,,,,0.104,0.299,0.22,0.097
rouge1,,,,,,,0.082,0.282,0.179,0.134
dsari_delete,,,,,,,0.048,0.226,0.085,0.02
dsari_add,,,,,,,0.137,0.027,0.009,0.156
Avg_Word_Len,0.035,0.057,0.088,0.067,0.031,0.136,0.002,0.047,0.062,0.043
Shuffle,0.17,0.005,0.028,0.115,0.028,0.034,0.081,0.053,0.021,0.027
Random,0.272,0.075,0.042,0.176,0.107,0.041,0.029,0.017,0.083,0.045
