Metric,SDA,ST-sent,ST-para,D-Wiki
Claude(simp),"0.363 [0.292, 0.431]","0.465 [0.426, 0.502]","0.297 [0.184, 0.402]","0.495 [0.432, 0.553]"
Claude(simp+src),"0.676 [0.630, 0.717]","0.179 [0.131, 0.226]","0.216 [0.099, 0.326]","0.574 [0.518, 0.625]"
Claude(simp+ref),"0.639 [0.589, 0.684]","0.026 [0.023, 0.075]","0.154 [0.036, 0.269]","0.497 [0.435, 0.555]"
Claude(simp+src+ref),"0.725 [0.685, 0.761]","0.181 [0.133, 0.228]","0.188 [0.071, 0.301]","0.522 [0.462, 0.578]"
GPT-4o-mini,"0.504 [0.441, 0.561]","0.447 [0.408, 0.485]","0.267 [0.152, 0.374]","0.391 [0.321, 0.456]"
Gemma-4-E4B,"0.302 [0.227, 0.373]","0.422 [0.381, 0.461]","0.142 [0.023, 0.257]","0.379 [0.309, 0.446]"
Ministral-8B,"0.589 [0.534, 0.640]","0.265 [0.219, 0.310]","0.116 [0.003, 0.232]","0.398 [0.328, 0.463]"
Llama-3.1-8B,"0.489 [0.425, 0.547]","0.359 [0.315, 0.400]","0.218 [0.101, 0.328]","0.323 [0.250, 0.393]"
GPT-4o-mini (pairwise),"0.354 [0.282, 0.422]","0.381 [0.338, 0.422]","0.298 [0.186, 0.403]","0.234 [0.157, 0.309]"
Gemma-4-E4B (pairwise),"0.378 [0.307, 0.445]","0.320 [0.275, 0.363]","0.220 [0.103, 0.330]","0.278 [0.203, 0.350]"
Ministral-8B (pairwise),-,"0.020 [0.028, 0.069]","0.018 [0.101, 0.137]","0.005 [0.075, 0.085]"
Llama-3.1-8B (pairwise),"0.349 [0.276, 0.417]","0.055 [0.006, 0.103]","0.176 [0.058, 0.289]","0.193 [0.115, 0.269]"
